slug,window_text,first_quote_ts,close_ts_utc,quote_count_total,quote_count_first2m,target_price,price_after_2m,final_price_last,btc_move_2m,btc_return_bps_2m,mid_up_prob_open,mid_up_prob_2m,mid_up_prob_change_2m,buy_up_price_2m,buy_down_price_2m,buy_up_size_2m,buy_down_size_2m,sell_up_size_2m,sell_down_size_2m,size_imbalance_updown_2m,depth_imbalance_updown_2m,spread_up_median_first2m,spread_down_median_first2m,overround_median_first2m,trade_count_sum_first2m,trade_volume_sum_first2m,outcome_up,realized_pnl_buy_up_from_2m,realized_pnl_buy_down_from_2m
btc-updown-5m-1777189500,15:45-15:50,2026-04-26 07:45:01+00:00,2026-04-26 07:45:00+00:00,135,55,77996.11,78005.72,78017.29,9.610000000000582,1.2321127297246723,0.515,0.555,0.040000000000000036,0.56,0.45,13.42,342.9,325.9,13.42,-0.9246744499326447,-0.0035501799689805756,1.0,1.0,0.0,,,1.0,0.42999999999999994,-0.46
btc-updown-5m-1777189800,15:50-15:55,2026-04-26 07:50:01+00:00,2026-04-26 07:50:00+00:00,136,56,78017.29,78068.22,78074.5,50.93000000000757,6.528040130592536,0.495,0.945,0.44999999999999996,0.95,0.06,893.33,291.41,308.08,890.48,0.5080608403531577,-0.017663253572540446,1.0,1.0,0.0,,,1.0,0.04000000000000004,-0.06999999999999999
btc-updown-5m-1777190100,15:55-16:00,2026-04-26 07:55:02+00:00,2026-04-26 07:55:00+00:00,135,56,,78132.05,78126.31,,,0.555,0.915,0.36,0.92,0.09,150.01,112.0,112.0,140.01,0.14507079882447232,-0.03023299548809185,1.0,1.0,0.0,,,,,
btc-updown-5m-1777190400,16:00-16:05,2026-04-26 08:00:02+00:00,2026-04-26 08:00:00+00:00,134,56,78142.72,78138.95,78138.24,-3.7700000000040745,-0.48245057249147133,0.5,0.635,0.135,0.64,0.37,136.86,440.59,269.38,161.86,-0.5259849337604986,0.010035899970910846,1.0,1.0,0.0,,,0.0,-0.65,0.62
btc-updown-5m-1777190700,16:05-16:10,2026-04-26 08:05:01+00:00,2026-04-26 08:05:00+00:00,135,55,78138.24,78130.46,78110.0,-7.779999999998836,-0.9956712615998051,0.455,0.435,-0.020000000000000018,0.44,0.57,556.81,114.07,219.5,511.81,0.6599391843548772,-0.009503390202066543,1.0,1.0,0.0,,,0.0,-0.45,0.42000000000000004
btc-updown-5m-1777191000,16:10-16:15,2026-04-26 08:10:02+00:00,2026-04-26 08:10:00+00:00,134,56,,78096.09,78105.7,,,0.42,0.255,-0.16499999999999998,0.26,0.75,154.58,344.59,374.59,154.58,-0.3806518821243263,-0.04467081839253744,1.0,1.0,0.0,,,,,
btc-updown-5m-1777191300,16:15-16:20,2026-04-26 08:15:01+00:00,2026-04-26 08:15:00+00:00,137,56,78105.7,78080.41,78074.02,-25.289999999993597,-3.2379198957302218,0.485,0.165,-0.31999999999999995,0.17,0.84,230.1,349.91,349.91,230.1,-0.2065654040447579,0.05049943151169561,1.0,1.0,0.0,,,0.0,-0.18000000000000002,0.15000000000000002
btc-updown-5m-1777191600,16:20-16:25,2026-04-26 08:20:06+00:00,2026-04-26 08:20:00+00:00,135,55,,78070.0,78071.68,,,0.565,0.315,-0.24999999999999994,0.32,0.69,30.0,118.5,152.5,30.0,-0.5959595959595959,0.026526179459907,1.0,1.0,0.0,,,,,
btc-updown-5m-1777191900,16:25-16:30,2026-04-26 08:25:02+00:00,2026-04-26 08:25:00+00:00,135,54,78071.68,78096.79,78112.73,25.110000000000582,3.216275094887235,0.635,0.735,0.09999999999999998,0.74,0.27,153.36,120.91,120.91,183.6,0.11831407007693157,0.02809658544460577,1.0,1.0,0.0,,,1.0,0.25,-0.28
btc-updown-5m-1777192200,16:30-16:35,2026-04-26 08:30:02+00:00,2026-04-26 08:30:00+00:00,133,53,78112.72,78129.03,78155.84,16.30999999999767,2.0880082014808434,0.465,0.665,0.2,0.67,0.34,24.84,494.82,508.82,14.41,-0.9043990301350884,0.023511616599070348,1.0,1.0,0.0,,,1.0,0.31999999999999995,-0.35000000000000003
btc-updown-5m-1777192500,16:35-16:40,2026-04-26 08:35:01+00:00,2026-04-26 08:35:00+00:00,135,53,78155.84,78224.71,78167.11,68.8700000000099,8.811881492158474,0.465,0.955,0.48999999999999994,0.96,0.05,240.24,100.99,71.99,224.41,0.4080825249831492,0.0035399380503554584,1.0,1.0,0.0,,,1.0,0.030000000000000034,-0.060000000000000005
btc-updown-5m-1777192800,16:40-16:45,2026-04-26 08:40:01+00:00,2026-04-26 08:40:00+00:00,135,54,78167.11,78109.5,78066.28,-57.61000000000058,-7.370107453121982,0.475,0.085,-0.38999999999999996,0.09,0.92,138.0,430.72,405.81,5.0,-0.514699676466451,-0.019805874226756445,1.0,1.0,0.0,,,0.0,-0.09999999999999999,0.06999999999999997
btc-updown-5m-1777193100,16:45-16:50,2026-04-26 08:45:01+00:00,2026-04-26 08:45:00+00:00,136,54,78066.28,78050.89,78058.01,-15.389999999999418,-1.9714017370879484,0.425,0.305,-0.12,0.31,0.7,13.0,241.3,195.31,13.0,-0.897758552890287,0.014626468695329947,1.0,1.0,0.0,,,0.0,-0.32,0.29000000000000004
btc-updown-5m-1777193400,16:50-16:55,2026-04-26 08:50:02+00:00,2026-04-26 08:50:00+00:00,132,51,78058.01,78055.28,78077.15,-2.7299999999959255,-0.3497398921642924,0.485,0.475,-0.010000000000000009,0.48,0.52,68.1,75.0,253.73,307.64,-0.048218029350104864,-0.012727265778178681,1.0,1.0,0.0,,,1.0,0.51,-0.53
btc-updown-5m-1777193700,16:55-17:00,2026-04-26 08:55:01+00:00,2026-04-26 08:55:00+00:00,136,54,78077.16,78062.28,78050.01,-14.880000000004657,-1.905807024743812,0.535,0.305,-0.23000000000000004,0.31,0.7,582.12,57.03,58.46,546.6,0.8215442384416805,-0.023719119513621413,1.0,1.0,0.0,,,0.0,-0.32,0.29000000000000004
btc-updown-5m-1777194000,17:00-17:05,2026-04-26 09:00:02+00:00,2026-04-26 09:00:00+00:00,135,54,78039.94,78030.01,78022.95,-9.930000000007567,-1.272425376032781,0.385,0.105,-0.28,0.11,0.9,97.95,58.99,118.0,274.9,0.2482477379890404,-0.07825175163734356,1.0,1.0,0.0,,,0.0,-0.12,0.08999999999999998
btc-updown-5m-1777194300,17:05-17:10,2026-04-26 09:05:01+00:00,2026-04-26 09:05:00+00:00,135,54,78022.95,78018.09,78005.67,-4.860000000000582,-0.6228936485996214,0.47,0.245,-0.22499999999999998,0.25,0.79,107.0,119.5,60.63,707.94,-0.05518763796909492,-0.02125671639051656,1.0,1.0,0.0,,,0.0,-0.26,0.19999999999999996
btc-updown-5m-1777194600,17:10-17:15,2026-04-26 09:10:00+00:00,2026-04-26 09:10:00+00:00,136,53,78005.67,78014.24,78039.99,8.570000000006985,1.098638086181041,0.545,0.635,0.08999999999999997,0.64,0.37,237.18,52.45,57.45,247.18,0.6378137623864932,0.0016174441511209695,1.0,1.0,0.0,,,1.0,0.35,-0.38
btc-updown-5m-1777194900,17:15-17:20,2026-04-26 09:15:02+00:00,2026-04-26 09:15:00+00:00,136,54,78039.99,78038.0,78007.24,-1.9900000000052387,-0.25499746988758437,0.45,0.45,0.0,0.46,0.57,14.0,16.26,11.59,10.0,-0.07468605419695973,0.01370453624843756,1.0,1.0,0.0,,,0.0,-0.47000000000000003,0.42000000000000004
btc-updown-5m-1777195200,17:20-17:25,2026-04-26 09:20:02+00:00,2026-04-26 09:20:00+00:00,135,53,78007.24,78041.58,78041.22,34.33999999999651,4.40215549223335,0.445,0.815,0.36999999999999994,0.82,0.19,208.29,64.53,54.53,178.41,0.526940840114361,0.10308468602839906,1.0,1.0,0.0,,,1.0,0.17000000000000004,-0.2
btc-updown-5m-1777195500,17:25-17:30,2026-04-26 09:25:01+00:00,2026-04-26 09:25:00+00:00,135,53,78041.22,78058.04,78033.01,16.819999999992433,2.155271278433683,0.435,0.675,0.24000000000000005,0.68,0.32,20.11,392.06,366.98,37.0,-0.9024189048208263,0.04534419288197793,1.0,1.0,0.0,,,0.0,-0.6900000000000001,0.6699999999999999
btc-updown-5m-1777195800,17:30-17:35,2026-04-26 09:30:00+00:00,2026-04-26 09:30:00+00:00,134,54,78033.01,78004.97,77992.63,-28.039999999993597,-3.5933510702705944,0.5,0.125,-0.375,0.13,0.88,351.07,45.0,45.0,332.83,0.7727674400989724,-0.07803169042121189,1.0,1.0,0.0,,,0.0,-0.14,0.11
btc-updown-5m-1777196100,17:35-17:40,2026-04-26 09:35:01+00:00,2026-04-26 09:35:00+00:00,136,56,77992.64,78000.19,77970.65,7.55000000000291,0.968040061216406,0.585,0.535,-0.04999999999999993,0.54,0.47,305.41,101.65,101.65,339.41,0.5005650272687073,-0.013144085621299689,1.0,1.0,0.0,,,0.0,-0.55,0.52
btc-updown-5m-1777196400,17:40-17:45,2026-04-26 09:40:02+00:00,2026-04-26 09:40:00+00:00,133,56,,77953.97,77998.44,,,0.545,0.205,-0.3400000000000001,0.21,0.8,29.04,753.35,20.05,48.56,-0.9257659223660835,-0.10747540743235144,1.0,1.0,0.0,,,,,
btc-updown-5m-1777196700,17:45-17:50,2026-04-26 09:45:01+00:00,2026-04-26 09:45:00+00:00,137,56,77998.44,77985.28,77988.55,-13.160000000003492,-1.6872132314445638,0.515,0.255,-0.26,0.26,0.75,397.42,68.0,75.0,444.42,0.7077908125993726,-0.07014037364182163,1.0,1.0,0.0,,,0.0,-0.27,0.24
btc-updown-5m-1777197000,17:50-17:55,2026-04-26 09:50:00+00:00,2026-04-26 09:50:00+00:00,137,56,77988.55,78008.24,78014.79,19.69000000000233,2.5247295917160053,0.515,0.755,0.24,0.76,0.26,289.51,189.73,89.24,139.0,0.2082046573741758,0.03269349082594413,1.0,1.0,0.0,,,1.0,0.22999999999999998,-0.27
btc-updown-5m-1777197300,17:55-18:00,2026-04-26 09:55:02+00:00,2026-04-26 09:55:00+00:00,135,56,,78017.65,78026.92,,,0.515,0.565,0.04999999999999993,0.57,0.44,266.46,43.0,47.54,271.46,0.7220965552898597,-0.023706127612437778,1.0,1.0,0.0,,,,,
btc-updown-5m-1777197600,18:00-18:05,2026-04-26 10:00:01+00:00,2026-04-26 10:00:00+00:00,134,56,78026.91,77982.68,77990.21,-44.23000000001048,-5.668557168291103,0.35,0.125,-0.22499999999999998,0.13,0.88,938.14,57.9,58.9,962.14,0.8837396088510502,-0.024100202952082154,1.0,1.0,0.0,,,0.0,-0.14,0.11
btc-updown-5m-1777197900,18:05-18:10,2026-04-26 10:05:00+00:00,2026-04-26 10:05:00+00:00,136,56,77990.21,78037.59,78057.44,47.379999999990105,6.075121479989616,0.495,0.925,0.43000000000000005,0.93,0.08,361.16,3.54,3.54,404.45,0.9805867836578008,-0.039810571725440995,1.0,1.0,0.0,,,1.0,0.05999999999999995,-0.09
btc-updown-5m-1777198200,18:10-18:15,2026-04-26 10:10:02+00:00,2026-04-26 10:10:00+00:00,135,56,78049.78,78057.45,78058.01,7.669999999998254,0.9827061652189479,0.425,0.515,0.09000000000000002,0.52,0.46,16.18,415.47,724.51,71.0,-0.9250318545117572,0.020877457570443007,1.0,1.0,0.0,,,1.0,0.47,-0.47000000000000003
btc-updown-5m-1777198500,18:15-18:20,2026-04-26 10:15:01+00:00,2026-04-26 10:15:00+00:00,138,56,78057.96,78057.6,78053.0,-0.3600000000005821,-0.04611957576147033,0.44,0.465,0.025000000000000022,0.47,0.54,139.0,148.16,105.19,147.0,-0.03189859311881877,-0.0228081131577406,1.0,1.0,0.0,,,0.0,-0.48,0.44999999999999996
btc-updown-5m-1777198800,18:20-18:25,2026-04-26 10:20:02+00:00,2026-04-26 10:20:00+00:00,134,55,,78044.32,78044.32,,,0.41,0.335,-0.07499999999999996,0.34,0.67,385.62,316.5,316.5,367.79,0.09844471030593062,0.009517034268043545,1.0,1.0,0.0,,,,,
btc-updown-5m-1777199100,18:25-18:30,2026-04-26 10:25:00+00:00,2026-04-26 10:25:00+00:00,136,56,78044.32,78027.93,78030.5,-16.39000000001397,-2.1000887700749997,0.505,0.195,-0.31,0.2,0.81,82.84,86.1,118.1,62.22,-0.01929679176038825,-0.011390743867179733,1.0,1.0,0.0,,,0.0,-0.21000000000000002,0.17999999999999994
btc-updown-5m-1777199400,18:30-18:35,2026-04-26 10:30:01+00:00,2026-04-26 10:30:00+00:00,130,56,78030.5,78018.09,78031.96,-12.410000000003492,-1.590403752379325,0.505,0.185,-0.32,0.19,0.82,21.94,338.7,325.87,44.44,-0.8783274179236912,0.036351304835026396,1.0,1.0,0.0,,,1.0,0.8,-0.83
btc-updown-5m-1777199700,18:35-18:40,2026-04-26 10:35:01+00:00,2026-04-26 10:35:00+00:00,160,65,78031.96,78034.0,78021.37,2.039999999993597,0.2614313417212123,0.525,0.605,0.07999999999999996,0.61,0.4,212.52,83.95,143.95,193.92,0.4336695112490302,-0.018154826047490087,1.0,1.0,0.0,,,0.0,-0.62,0.59
btc-updown-5m-1777200000,18:40-18:45,2026-04-26 10:40:02+00:00,2026-04-26 10:40:00+00:00,159,65,78021.37,78010.58,78010.74,-10.789999999993597,-1.382954439276521,0.495,0.285,-0.21000000000000002,0.29,0.72,64.75,267.19,243.58,32.77,-0.6098692534795445,-0.11347687628156809,1.0,1.0,0.0,,,0.0,-0.3,0.27
btc-updown-5m-1777200300,18:45-18:50,2026-04-26 10:45:01+00:00,2026-04-26 10:45:00+00:00,160,65,78011.99,78014.46,78000.01,2.470000000001164,0.316617996797821,0.495,0.645,0.15000000000000002,0.65,0.36,81.36,578.54,614.54,81.36,-0.7534171844218821,-0.009352227156781138,1.0,1.0,0.0,,,0.0,-0.66,0.63
btc-updown-5m-1777200600,18:50-18:55,2026-04-26 10:50:01+00:00,2026-04-26 10:50:00+00:00,157,62,78000.01,78005.01,78007.99,5.0,0.6410255588428772,0.555,0.64,0.08499999999999996,0.65,0.37,63.23,77.32,53.98,63.23,-0.10024902170046246,0.008629812326596962,1.0,1.0,0.0,,,1.0,0.33999999999999997,-0.38
btc-updown-5m-1777200900,18:55-19:00,2026-04-26 10:55:00+00:00,2026-04-26 10:55:00+00:00,157,64,78007.98,78014.78,78024.64,6.80000000000291,0.8717056895977707,0.515,0.695,0.17999999999999994,0.7,0.31,20.0,472.16,415.98,20.0,-0.9187256176853056,0.019354825073132728,1.0,1.0,0.0,,,1.0,0.29000000000000004,-0.32
btc-updown-5m-1777201200,19:00-19:05,2026-04-26 11:00:01+00:00,2026-04-26 11:00:00+00:00,158,64,78024.64,78077.13,78050.9,52.49000000000524,6.7273620230744084,0.52,0.945,0.42499999999999993,0.95,0.06,184.44,486.59,479.58,184.44,-0.4502779309419847,0.02316263471613075,1.0,1.0,0.0,,,1.0,0.04000000000000004,-0.06999999999999999
btc-updown-5m-1777201500,19:05-19:10,2026-04-26 11:05:00+00:00,2026-04-26 11:05:00+00:00,160,64,78050.9,78068.35,78074.04,17.45000000001164,2.23572053621568,0.495,0.865,0.37,0.87,0.15,78.75,349.59,10.14,24.41,-0.6323014427791007,0.019001166461747706,1.0,1.0,0.0,,,1.0,0.12000000000000001,-0.16
btc-updown-5m-1777201800,19:10-19:15,2026-04-26 11:10:01+00:00,2026-04-26 11:10:00+00:00,160,65,78074.04,78103.36,78070.59,29.320000000006985,3.7554096086236846,0.475,0.685,0.21000000000000008,0.69,0.32,211.23,130.23,122.23,232.23,0.23721665788086455,0.04897955958692509,1.0,1.0,0.0,,,0.0,-0.7,0.6699999999999999
btc-updown-5m-1777202100,19:15-19:20,2026-04-26 11:15:01+00:00,2026-04-26 11:15:00+00:00,159,64,78070.59,78057.45,78064.01,-13.139999999999418,-1.6830921861868111,0.485,0.235,-0.25,0.24,0.77,84.85,301.11,300.31,89.85,-0.5603171313089439,0.030350215867334482,1.0,1.0,0.0,,,0.0,-0.25,0.21999999999999997
btc-updown-5m-1777202400,19:20-19:25,2026-04-26 11:20:01+00:00,2026-04-26 11:20:00+00:00,160,65,78073.84,78064.24,78139.98,-9.599999999991269,-1.229605204507844,0.485,0.465,-0.019999999999999962,0.47,0.54,60.53,329.04,310.04,60.53,-0.6892471186179633,-0.006971668435997023,1.0,1.0,0.0,,,1.0,0.52,-0.55
btc-updown-5m-1777202700,19:25-19:30,2026-04-26 11:25:01+00:00,2026-04-26 11:25:00+00:00,159,64,78139.98,78169.99,78160.73,30.010000000009313,3.840543598809382,0.425,0.875,0.45,0.88,0.15,403.66,22.0,27.47,412.9,0.8966311140346755,0.03210224673112202,1.0,1.0,0.0,,,1.0,0.11,-0.16
btc-updown-5m-1777203000,19:30-19:35,2026-04-26 11:30:01+00:00,2026-04-26 11:30:00+00:00,158,64,78160.74,78149.29,78126.84,-11.450000000011642,-1.4649298356197293,0.455,0.295,-0.16000000000000003,0.3,0.71,439.69,5.99,5.99,497.69,0.9731197271584994,0.00386244061487726,1.0,1.0,0.0,,,0.0,-0.31,0.28
btc-updown-5m-1777203300,19:35-19:40,2026-04-26 11:35:02+00:00,2026-04-26 11:35:00+00:00,159,65,78126.84,78101.34,78100.09,-25.5,-3.2639231280824874,0.435,0.195,-0.24,0.2,0.81,432.79,182.15,187.51,475.79,0.40758447978664586,0.007210303345962722,1.0,1.0,0.0,,,0.0,-0.21000000000000002,0.17999999999999994
btc-updown-5m-1777203600,19:40-19:45,2026-04-26 11:40:02+00:00,2026-04-26 11:40:00+00:00,159,65,78100.09,78106.65,78109.29,6.559999999997672,0.8399478156808362,0.485,0.645,0.16000000000000003,0.65,0.36,88.12,556.7,540.9,88.12,-0.7266834155268137,0.047631276488757965,1.0,1.0,0.0,,,1.0,0.33999999999999997,-0.37
