feature_set,model_kind,feature_count,member_count,l2,validation_logloss,complexity_penalty,selection_loss,members
mixed_top2_logit_blend,mixed_blend,15,2,0.01,0.5044236859655171,0.0008,0.5052236859655171,prior_plus_btc@l2=0.01 + prior_btc_liquidity@l2=0.01
mixed_top2_logit_blend,mixed_blend,15,2,0.05,0.5044236910046642,0.0008,0.5052236910046642,prior_plus_btc@l2=0.01 + prior_btc_liquidity@l2=0.01
mixed_top2_logit_blend,mixed_blend,15,2,0.1,0.5044236973076787,0.0008,0.5052236973076787,prior_plus_btc@l2=0.01 + prior_btc_liquidity@l2=0.01
mixed_top2_logit_blend,mixed_blend,15,2,0.5,0.5044237478949947,0.0008,0.5052237478949947,prior_plus_btc@l2=0.01 + prior_btc_liquidity@l2=0.01
mixed_top2_logit_blend,mixed_blend,15,2,1.0,0.5044238115370475,0.0008,0.5052238115370475,prior_plus_btc@l2=0.01 + prior_btc_liquidity@l2=0.01
mixed_top2_logit_blend,mixed_blend,15,2,2.0,0.50442394018022,0.0008,0.50522394018022,prior_plus_btc@l2=0.01 + prior_btc_liquidity@l2=0.01
prior_plus_btc,single,4,1,0.01,0.5062792175109058,0.0,0.5062792175109058,prior_plus_btc
prior_plus_btc,single,4,1,0.05,0.5062792584269717,0.0,0.5062792584269717,prior_plus_btc
prior_plus_btc,single,4,1,0.1,0.506279309572541,0.0,0.506279309572541,prior_plus_btc
prior_plus_btc,single,4,1,0.5,0.5062797187565634,0.0,0.5062797187565634,prior_plus_btc
prior_plus_btc,single,4,1,1.0,0.5062802302852601,0.0,0.5062802302852601,prior_plus_btc
prior_plus_btc,single,4,1,2.0,0.506281253504858,0.0,0.506281253504858,prior_plus_btc
mixed_top3_logit_blend,mixed_blend,17,3,0.01,0.5050612082056195,0.0016,0.5066612082056196,prior_plus_btc@l2=0.01 + prior_btc_liquidity@l2=0.01 + no_timing_boundary@l2=0.01
mixed_top3_logit_blend,mixed_blend,17,3,0.05,0.5050612091734499,0.0016,0.5066612091734499,prior_plus_btc@l2=0.01 + prior_btc_liquidity@l2=0.01 + no_timing_boundary@l2=0.01
