slug,first_quote_ts,btc_move_2m,mid_up_prob_2m,outcome_up,model,pred_prob_up,decision,pnl
btc-updown-5m-1777076700,2026-04-25 00:25:02+00:00,-25.989999999990687,0.315,0.0,baseline_train_up_rate,0.484472049689441,buy_up,-0.325
btc-updown-5m-1777077300,2026-04-25 00:35:00+00:00,0.07000000000698492,0.465,1.0,baseline_train_up_rate,0.484472049689441,buy_up,0.5249999999999999
btc-updown-5m-1777077600,2026-04-25 00:40:01+00:00,22.25,0.835,0.0,baseline_train_up_rate,0.484472049689441,buy_down,0.825
btc-updown-5m-1777077900,2026-04-25 00:45:02+00:00,25.380000000004657,0.875,1.0,baseline_train_up_rate,0.484472049689441,buy_down,-0.135
btc-updown-5m-1777078500,2026-04-25 00:55:02+00:00,21.75,0.855,1.0,baseline_train_up_rate,0.484472049689441,buy_down,-0.15500000000000003
btc-updown-5m-1777078800,2026-04-25 01:00:02+00:00,-0.059999999997671694,0.745,0.0,baseline_train_up_rate,0.484472049689441,buy_down,0.735
btc-updown-5m-1777079100,2026-04-25 01:05:02+00:00,-3.1700000000128057,0.365,0.0,baseline_train_up_rate,0.484472049689441,buy_up,-0.375
btc-updown-5m-1777079400,2026-04-25 01:10:01+00:00,13.110000000000582,0.755,1.0,baseline_train_up_rate,0.484472049689441,buy_down,-0.255
btc-updown-5m-1777080000,2026-04-25 01:20:02+00:00,-18.60000000000582,0.315,0.0,baseline_train_up_rate,0.484472049689441,buy_up,-0.325
btc-updown-5m-1777080300,2026-04-25 01:25:01+00:00,3.3000000000029104,0.585,0.0,baseline_train_up_rate,0.484472049689441,buy_down,0.575
btc-updown-5m-1777080600,2026-04-25 01:30:02+00:00,20.320000000006985,0.585,1.0,baseline_train_up_rate,0.484472049689441,buy_down,-0.42500000000000004
btc-updown-5m-1777080900,2026-04-25 01:35:00+00:00,-12.470000000001164,0.235,0.0,baseline_train_up_rate,0.484472049689441,buy_up,-0.245
btc-updown-5m-1777081200,2026-04-25 01:40:01+00:00,5.940000000002328,0.465,1.0,baseline_train_up_rate,0.484472049689441,buy_up,0.5249999999999999
btc-updown-5m-1777081500,2026-04-25 01:45:02+00:00,18.779999999998836,0.585,1.0,baseline_train_up_rate,0.484472049689441,buy_down,-0.42500000000000004
btc-updown-5m-1777081800,2026-04-25 01:50:01+00:00,-19.480000000010477,0.175,0.0,baseline_train_up_rate,0.484472049689441,buy_up,-0.185
btc-updown-5m-1777082700,2026-04-25 02:05:01+00:00,20.619999999995343,0.595,1.0,baseline_train_up_rate,0.484472049689441,buy_down,-0.41500000000000004
btc-updown-5m-1777083000,2026-04-25 02:10:00+00:00,21.860000000000582,0.565,0.0,baseline_train_up_rate,0.484472049689441,buy_down,0.5549999999999999
btc-updown-5m-1777083300,2026-04-25 02:15:00+00:00,11.589999999996508,0.765,1.0,baseline_train_up_rate,0.484472049689441,buy_down,-0.245
btc-updown-5m-1777083600,2026-04-25 02:20:01+00:00,-7.240000000005239,0.625,1.0,baseline_train_up_rate,0.484472049689441,buy_down,-0.385
btc-updown-5m-1777083900,2026-04-25 02:25:01+00:00,10.190000000002328,0.725,1.0,baseline_train_up_rate,0.484472049689441,buy_down,-0.28500000000000003
btc-updown-5m-1777084200,2026-04-25 02:30:01+00:00,3.8999999999941792,0.585,0.0,baseline_train_up_rate,0.484472049689441,buy_down,0.575
btc-updown-5m-1777084500,2026-04-25 02:35:00+00:00,-3.2700000000040745,0.385,1.0,baseline_train_up_rate,0.484472049689441,buy_up,0.605
btc-updown-5m-1777085100,2026-04-25 02:45:01+00:00,-9.820000000006985,0.31,0.0,baseline_train_up_rate,0.484472049689441,buy_up,-0.32
btc-updown-5m-1777085400,2026-04-25 02:50:00+00:00,0.5100000000093132,0.575,1.0,baseline_train_up_rate,0.484472049689441,buy_down,-0.43500000000000005
btc-updown-5m-1777085700,2026-04-25 02:55:02+00:00,0.0,0.565,0.0,baseline_train_up_rate,0.484472049689441,buy_down,0.5549999999999999
btc-updown-5m-1777086300,2026-04-25 03:05:00+00:00,5.279999999998836,0.585,0.0,baseline_train_up_rate,0.484472049689441,buy_down,0.575
btc-updown-5m-1777086600,2026-04-25 03:10:00+00:00,-5.010000000009313,0.465,0.0,baseline_train_up_rate,0.484472049689441,buy_up,-0.47500000000000003
btc-updown-5m-1777086900,2026-04-25 03:15:02+00:00,-1.9900000000052387,0.425,1.0,baseline_train_up_rate,0.484472049689441,buy_up,0.565
btc-updown-5m-1777087200,2026-04-25 03:20:01+00:00,4.220000000001164,0.615,0.0,baseline_train_up_rate,0.484472049689441,buy_down,0.605
btc-updown-5m-1777087800,2026-04-25 03:30:02+00:00,7.5899999999965075,0.685,1.0,baseline_train_up_rate,0.484472049689441,buy_down,-0.32499999999999996
btc-updown-5m-1777088100,2026-04-25 03:35:01+00:00,8.259999999994761,0.725,1.0,baseline_train_up_rate,0.484472049689441,buy_down,-0.28500000000000003
btc-updown-5m-1777089000,2026-04-25 03:50:01+00:00,0.0,0.375,0.0,baseline_train_up_rate,0.484472049689441,buy_up,-0.385
btc-updown-5m-1777062600,2026-04-24 20:30:02+00:00,9.479999999995925,0.575,1.0,random_forest,0.722473276723277,buy_up,0.41500000000000004
btc-updown-5m-1777062900,2026-04-24 20:35:02+00:00,89.29000000000815,0.945,1.0,random_forest,0.9705987253487255,buy_up,0.04500000000000005
btc-updown-5m-1777063200,2026-04-24 20:40:01+00:00,-22.75,0.315,0.0,random_forest,0.19180471380471384,buy_down,0.30499999999999994
btc-updown-5m-1777063500,2026-04-24 20:45:01+00:00,28.419999999998254,0.735,1.0,random_forest,0.6396166981166981,buy_down,-0.275
btc-updown-5m-1777064100,2026-04-24 20:55:02+00:00,46.11999999999534,0.875,1.0,random_forest,0.9582403799903801,buy_up,0.115
btc-updown-5m-1777064400,2026-04-24 21:00:02+00:00,-30.80999999999767,0.255,1.0,random_forest,0.08239201539201539,buy_down,-0.755
btc-updown-5m-1777064700,2026-04-24 21:05:01+00:00,-42.770000000004075,0.135,0.0,random_forest,0.04279365079365078,buy_down,0.125
btc-updown-5m-1777065000,2026-04-24 21:10:00+00:00,-9.289999999993597,0.475,0.0,random_forest,0.4327443482443484,buy_down,0.46499999999999997
btc-updown-5m-1777065300,2026-04-24 21:15:01+00:00,-9.839999999996508,0.415,1.0,random_forest,0.46835654160654133,buy_up,0.575
btc-updown-5m-1777065900,2026-04-24 21:25:02+00:00,-9.05000000000291,0.405,0.0,random_forest,0.4143786676286673,skip,
btc-updown-5m-1777066200,2026-04-24 21:30:01+00:00,-18.169999999998254,0.315,0.0,random_forest,0.14333309283309278,buy_down,0.30499999999999994
btc-updown-5m-1777066500,2026-04-24 21:35:01+00:00,-30.139999999999418,0.225,0.0,random_forest,0.23459944684944684,skip,
btc-updown-5m-1777067100,2026-04-24 21:45:02+00:00,-0.9700000000011642,0.645,1.0,random_forest,0.5528197450697453,buy_down,-0.365
btc-updown-5m-1777067400,2026-04-24 21:50:01+00:00,8.429999999993015,0.635,0.0,random_forest,0.7720367965367967,buy_up,-0.645
btc-updown-5m-1777067700,2026-04-24 21:55:02+00:00,17.860000000000582,0.625,0.0,random_forest,0.5300767565767568,buy_down,0.615
btc-updown-5m-1777068000,2026-04-24 22:00:01+00:00,33.94000000000233,0.765,1.0,random_forest,0.7773682058682059,buy_up,0.22499999999999998
btc-updown-5m-1777068300,2026-04-24 22:05:00+00:00,12.069999999992433,0.695,0.0,random_forest,0.6964824434824433,skip,
btc-updown-5m-1777068600,2026-04-24 22:10:02+00:00,23.869999999995343,0.715,1.0,random_forest,0.6968068783068785,buy_down,-0.29500000000000004
btc-updown-5m-1777068900,2026-04-24 22:15:01+00:00,-20.789999999993597,0.475,0.0,random_forest,0.40125865800865806,buy_down,0.46499999999999997
btc-updown-5m-1777069200,2026-04-24 22:20:01+00:00,-26.19999999999709,0.385,0.0,random_forest,0.3815899470899473,skip,
btc-updown-5m-1777069500,2026-04-24 22:25:01+00:00,-13.419999999998254,0.325,0.0,random_forest,0.20739249639249646,buy_down,0.31499999999999995
btc-updown-5m-1777069800,2026-04-24 22:30:01+00:00,-49.63999999999942,0.135,0.0,random_forest,0.11902248677248677,buy_down,0.125
btc-updown-5m-1777070100,2026-04-24 22:35:02+00:00,-6.289999999993597,0.565,0.0,random_forest,0.44639117364117376,buy_down,0.5549999999999999
btc-updown-5m-1777070400,2026-04-24 22:40:01+00:00,11.75,0.645,0.0,random_forest,0.7667608225108226,buy_up,-0.655
btc-updown-5m-1777070700,2026-04-24 22:45:01+00:00,94.14999999999418,0.935,1.0,random_forest,0.9503751618751617,buy_up,0.054999999999999945
btc-updown-5m-1777071000,2026-04-24 22:50:02+00:00,-1.0,0.485,0.0,random_forest,0.6328280423280427,buy_up,-0.495
btc-updown-5m-1777071300,2026-04-24 22:55:01+00:00,13.980000000010477,0.605,1.0,random_forest,0.7727071909571911,buy_up,0.385
btc-updown-5m-1777071600,2026-04-24 23:00:01+00:00,41.05999999999767,0.785,1.0,random_forest,0.7375252340252341,buy_down,-0.22499999999999998
btc-updown-5m-1777071900,2026-04-24 23:05:02+00:00,16.479999999995925,0.64,1.0,random_forest,0.671829244829245,buy_up,0.35
btc-updown-5m-1777072500,2026-04-24 23:15:02+00:00,-8.080000000001746,0.295,1.0,random_forest,0.2624290524290524,buy_down,-0.7150000000000001
btc-updown-5m-1777073100,2026-04-24 23:25:00+00:00,22.49000000000524,0.795,1.0,random_forest,0.7454044566544563,buy_down,-0.21499999999999997
btc-updown-5m-1777074000,2026-04-24 23:40:00+00:00,10.259999999994761,0.605,1.0,random_forest,0.6632061457061458,buy_up,0.385
btc-updown-5m-1777074300,2026-04-24 23:45:00+00:00,-3.289999999993597,0.535,0.0,random_forest,0.5148434713434717,buy_down,0.525
btc-updown-5m-1777074900,2026-04-24 23:55:01+00:00,-9.369999999995343,0.355,0.0,random_forest,0.3835217652717651,buy_up,-0.365
btc-updown-5m-1777075500,2026-04-25 00:05:01+00:00,34.580000000001746,0.655,1.0,random_forest,0.8205465367965367,buy_up,0.33499999999999996
btc-updown-5m-1777075800,2026-04-25 00:10:01+00:00,-37.51000000000931,0.195,0.0,random_forest,0.11790271765271769,buy_down,0.18500000000000005
btc-updown-5m-1777076100,2026-04-25 00:15:00+00:00,-12.509999999994761,0.425,0.0,random_forest,0.4628042883042883,buy_up,-0.435
btc-updown-5m-1777076400,2026-04-25 00:20:02+00:00,-9.510000000009313,0.515,0.0,random_forest,0.4433892496392496,buy_down,0.505
btc-updown-5m-1777076700,2026-04-25 00:25:02+00:00,-25.989999999990687,0.315,0.0,random_forest,0.26975769600769617,buy_down,0.30499999999999994
btc-updown-5m-1777077300,2026-04-25 00:35:00+00:00,0.07000000000698492,0.465,1.0,random_forest,0.6560555555555556,buy_up,0.5249999999999999
btc-updown-5m-1777077600,2026-04-25 00:40:01+00:00,22.25,0.835,0.0,random_forest,0.834343915343915,skip,
btc-updown-5m-1777077900,2026-04-25 00:45:02+00:00,25.380000000004657,0.875,1.0,random_forest,0.6950401635401632,buy_down,-0.135
btc-updown-5m-1777078500,2026-04-25 00:55:02+00:00,21.75,0.855,1.0,random_forest,0.7054286731786731,buy_down,-0.15500000000000003
btc-updown-5m-1777078800,2026-04-25 01:00:02+00:00,-0.059999999997671694,0.745,0.0,random_forest,0.5883810541310543,buy_down,0.735
btc-updown-5m-1777079100,2026-04-25 01:05:02+00:00,-3.1700000000128057,0.365,0.0,random_forest,0.6221489898989903,buy_up,-0.375
btc-updown-5m-1777079400,2026-04-25 01:10:01+00:00,13.110000000000582,0.755,1.0,random_forest,0.6271867484367484,buy_down,-0.255
btc-updown-5m-1777080000,2026-04-25 01:20:02+00:00,-18.60000000000582,0.315,0.0,random_forest,0.21716847041847046,buy_down,0.30499999999999994
btc-updown-5m-1777080300,2026-04-25 01:25:01+00:00,3.3000000000029104,0.585,0.0,random_forest,0.6135040052540052,buy_up,-0.595
btc-updown-5m-1777080600,2026-04-25 01:30:02+00:00,20.320000000006985,0.585,1.0,random_forest,0.4769055574055574,buy_down,-0.42500000000000004
btc-updown-5m-1777080900,2026-04-25 01:35:00+00:00,-12.470000000001164,0.235,0.0,random_forest,0.16304629629629633,buy_down,0.22499999999999998
btc-updown-5m-1777081200,2026-04-25 01:40:01+00:00,5.940000000002328,0.465,1.0,random_forest,0.781274531024531,buy_up,0.5249999999999999
btc-updown-5m-1777081500,2026-04-25 01:45:02+00:00,18.779999999998836,0.585,1.0,random_forest,0.6523243515743518,buy_up,0.405
btc-updown-5m-1777081800,2026-04-25 01:50:01+00:00,-19.480000000010477,0.175,0.0,random_forest,0.0751547619047619,buy_down,0.16500000000000004
btc-updown-5m-1777082700,2026-04-25 02:05:01+00:00,20.619999999995343,0.595,1.0,random_forest,0.6991788489288492,buy_up,0.395
btc-updown-5m-1777083000,2026-04-25 02:10:00+00:00,21.860000000000582,0.565,0.0,random_forest,0.5989267214267212,buy_up,-0.575
btc-updown-5m-1777083300,2026-04-25 02:15:00+00:00,11.589999999996508,0.765,1.0,random_forest,0.6543320105820104,buy_down,-0.245
btc-updown-5m-1777083600,2026-04-25 02:20:01+00:00,-7.240000000005239,0.625,1.0,random_forest,0.44169456469456464,buy_down,-0.385
btc-updown-5m-1777083900,2026-04-25 02:25:01+00:00,10.190000000002328,0.725,1.0,random_forest,0.6557208994708992,buy_down,-0.28500000000000003
btc-updown-5m-1777084200,2026-04-25 02:30:01+00:00,3.8999999999941792,0.585,0.0,random_forest,0.6513915713915711,buy_up,-0.595
btc-updown-5m-1777084500,2026-04-25 02:35:00+00:00,-3.2700000000040745,0.385,1.0,random_forest,0.626111952861953,buy_up,0.605
btc-updown-5m-1777085100,2026-04-25 02:45:01+00:00,-9.820000000006985,0.31,0.0,random_forest,0.24312349687349694,buy_down,0.30000000000000004
btc-updown-5m-1777085400,2026-04-25 02:50:00+00:00,0.5100000000093132,0.575,1.0,random_forest,0.536059560809561,buy_down,-0.43500000000000005
btc-updown-5m-1777085700,2026-04-25 02:55:02+00:00,0.0,0.565,0.0,random_forest,0.5629543419543422,skip,
btc-updown-5m-1777086300,2026-04-25 03:05:00+00:00,5.279999999998836,0.585,0.0,random_forest,0.7231518759018759,buy_up,-0.595
btc-updown-5m-1777086600,2026-04-25 03:10:00+00:00,-5.010000000009313,0.465,0.0,random_forest,0.783367243867244,buy_up,-0.47500000000000003
btc-updown-5m-1777086900,2026-04-25 03:15:02+00:00,-1.9900000000052387,0.425,1.0,random_forest,0.7386278258778259,buy_up,0.565
btc-updown-5m-1777087200,2026-04-25 03:20:01+00:00,4.220000000001164,0.615,0.0,random_forest,0.6454491711991711,buy_up,-0.625
btc-updown-5m-1777087800,2026-04-25 03:30:02+00:00,7.5899999999965075,0.685,1.0,random_forest,0.7060759333259333,buy_up,0.30499999999999994
btc-updown-5m-1777088100,2026-04-25 03:35:01+00:00,8.259999999994761,0.725,1.0,random_forest,0.6760553058053056,buy_down,-0.28500000000000003
btc-updown-5m-1777089000,2026-04-25 03:50:01+00:00,0.0,0.375,0.0,random_forest,0.6293216690716692,buy_up,-0.385
